StockCode,Description,Revenue,Quantity,OrderCount
22030,SWALLOWS GREETING CARD,4948.05,12340,601
22031,BOTANICAL LAVENDER BIRTHDAY CARD,409.17,963,80
22032,BOTANICAL LILY GREETING CARD,378.42,903,74
22033,BOTANICAL ROSE GREETING CARD,644.64,1552,107
22034,ROBIN CHRISTMAS CARD,635.22,1533,83
22035,VINTAGE CARAVAN GREETING CARD ,1608.22,3930,244
22036,DINOSAUR BIRTHDAY CARD,668.76,1618,110
22037,ROBOT BIRTHDAY CARD,2806.0,6751,474
22038,BOTANICAL LAVENDER GIFT WRAP ,481.0,1150,45
22039,BOTANICAL LILY GIFT WRAP,353.0,850,30
22040,BOTANICAL ROSE GIFT WRAP,1144.3,2815,94
22041,"RECORD FRAME 7"" SINGLE SIZE ",15088.77,6845,319
22042,CHRISTMAS CARD SINGING ANGEL,577.62,1625,96
22043,CHRISTMAS CARD SCREEN PRINT ,583.08,2112,92
22044,CHRISTMAS CARD STACK OF PRESENTS,536.82,1909,85
22045,SPACE BOY GIFT WRAP,325.5,775,27
22045,SPACEBOY GIFT WRAP,5603.64,13642,442
22046,TEA PARTY  WRAPPING PAPER ,2603.0,6350,207
22047,EMPIRE GIFT WRAP,3340.5,8225,260
22048,BIRTHDAY BANQUET GIFT WRAP,1166.3,2815,102
22049,WRAP CHRISTMAS SCREEN PRINT,994.75,3450,112
22050,PINK PAISLEY ROSE GIFT WRAP,1354.0,3300,115
22051,BLUE SCANDINAVIAN PAISLEY WRAP,1317.5,3175,116
22052,VINTAGE CARAVAN GIFT WRAP,1427.32,3446,124
22053,EMPIRE DESIGN ROSETTE,3948.9199999999996,4518,66
22054,MINI CAKE STAND HANGING HEARTS,520.05,321,51
22055,MINI CAKE STAND  HANGING STRAWBERY,6731.23,4491,476
22056,CERAMIC PLATE LOVE HEART DESIGN,619.84,596,25
22057,CERAMIC PLATE STRAWBERRY DESIGN,3484.35,2903,173
22058,CERAMIC LOVE HEARTS DESIGN MUG,749.47,503,92
22059,CERAMIC STRAWBERRY DESIGN MUG,3064.3799999999997,2534,199
22059,CERAMIC STRWBERRY DESIGN MUG,3130.25,2269,166
22060,LARGE CAKE STAND HANGING HEARTS,5285.22,714,143
22061,LARGE CAKE STAND  HANGING STRAWBERY,17354.85,2086,443
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,1048.49,711,93
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,5532.55,2161,258
22064,PINK DOUGHNUT TRINKET POT ,9302.099999999999,6214,479
22065,CHRISTMAS PUDDING TRINKET POT ,5453.99,8257,333
22066,LOVE HEART TRINKET POT,2654.64,3406,254
22067,CHOC TRUFFLE GOLD TRINKET POT ,2717.1299999999997,1765,180
22068, BLACK PIRATE TREASURE CHEST,74.25,45,13
22068,BLACK PIRATE TREASURE CHEST,1254.1799999999998,892,166
22069, BROWN  PIRATE TREASURE CHEST ,59.39999999999999,36,7
22069,BROWN  PIRATE TREASURE CHEST ,858.3299999999999,603,82
22070,SMALL RED RETROSPOT MUG IN BOX ,4078.51,1426,197
22070,SMALL RETRO SPOT MUG IN BOX  RED,1188.75,317,78
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,1395.33,379,77
22071,SMALL WHITE RETROSPOT MUG IN BOX ,2825.37,1125,159
22072,RED RETROSPOT TEA CUP AND SAUCER ,5295.57,1561,299
22072,TEA CUP AND SAUCER RETRO SPOT,2218.98,614,103
22073,RED RETROSPOT STORAGE JAR,4566.42,1254,240
22073,RETRO SPOT STORAGE JAR,2439.09,675,120
22074,6 RIBBONS SHIMMERING PINKS ,1707.59,1741,152
22075,6 RIBBONS ELEGANT CHRISTMAS ,4031.2699999999995,2801,256
22076,6 RIBBONS EMPIRE  ,3030.4199999999996,2100,240
22077,6 RIBBONS RUSTIC CHARM,27031.039999999997,16026,1361
22078,RIBBON REEL LACE DESIGN ,7739.6,3801,385
22079,RIBBON REEL HEARTS DESIGN ,7670.64,4736,542
22080,RIBBON REEL POLKADOTS ,2572.2,1588,194
22080,RIBBON REEL SPOTS DESIGN ,3509.05,2157,244
22081,RIBBON REEL FLORA + FAUNA ,2411.87,1455,212
22082,RIBBON REEL STRIPES DESIGN ,11166.78,6878,819
22083,PAPER CHAIN KIT RETRO SPOT,19804.550000000003,7351,490
22083,PAPER CHAIN KIT RETROSPOT,15411.86,5514,585
22084,PAPER CHAIN KIT EMPIRE,23049.95,8437,704
22085,PAPER CHAIN KIT SKULLS ,6651.900000000001,2482,192
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18000000001,28380,1691
22087,PAPER BUNTING WHITE LACE,21336.350000000002,7752,663
22088,PAPER BUNTING COLOURED LACE,11086.900000000001,4038,478
22089,PAPER BUNTING VINTAGE PAISLEY,8842.150000000001,3196,421
22090,PAPER BUNTING RETRO SPOTS,20723.25,7595,607
22090,PAPER BUNTING RETROSPOT,20933.24,7632,658
22091,EMPIRE TISSUE BOX,2152.81,3039,242
22092,BLUE PAISLEY TISSUE BOX,548.05,903,133
22093,MOTORING TISSUE BOX,1353.21,2315,247
22094,RED POLKA DOT TISSUE BOX,1076.15,943,62
22094,RED RETROSPOT TISSUE BOX,1179.04,2453,170
22095,LADS ONLY TISSUE BOX,2741.16,2820,188
22096,PINK PAISLEY SQUARE TISSUE BOX ,886.2800000000001,1646,163
22097,SWALLOW SQUARE TISSUE BOX,1180.79,2021,211
22098,BOUDOIR SQUARE TISSUE BOX,1702.8300000000002,2762,231
22099,CARAVAN SQUARE TISSUE BOX,1329.17,2019,214
22100,SKULLS SQUARE TISSUE BOX,574.1700000000001,943,81
22101,MIRROR MOSAIC VOTIVE HOLDER,1014.72,1088,49
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1024.5,1738,41
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1368.54,1598,50
22104,MIRROR MOSAIC CANDLE PLATE,694.26,1026,41
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,937.25,613,26
22106,MIRROR MOSAIC HURRICANE LAMP ,1171.85,427,36
22107,PIZZA PLATE IN BOX,2957.3,841,185
22108,PING! MICROWAVE PLATE,537.89,197,49
22109,FULL ENGLISH BREAKFAST PLATE,10321.92,2872,389
22110,BIRD HOUSE HOT WATER BOTTLE,4233.11,1866,323
22111,SCOTTIE DOG HOT WATER BOTTLE,42463.200000000004,9092,1457
22112,CHOCOLATE HOT WATER BOTTLE,45601.340000000004,9904,1447
22113,GREY HEART HOT WATER BOTTLE,20977.78,5623,913
22114,HOT WATER BOTTLE TEA AND SYMPATHY,34479.62,8848,1298
22115,METAL SIGN EMPIRE TEA,4639.530000000001,2709,350
22116,METAL SIGN HIS DINNER IS SERVED,924.69,735,127
22117,METAL SIGN HER DINNER IS SERVED ,5051.6,1724,196
22118,JOY WOODEN BLOCK LETTERS,3466.03,765,243
22119, PEACE WOODEN BLOCK LETTERS,917.15,133,47
22119,PEACE WOODEN BLOCK LETTERS,4492.31,749,283
22120,WELCOME  WOODEN BLOCK LETTERS,9289.199999999999,967,316
22121,NOEL WOODEN BLOCK LETTERS ,8343.19,1411,386
22122,SET OF 2 FANCY FONT TEA TOWELS,3042.3500000000004,1053,156
22123,PING MICROWAVE APRON,1233.95,557,91
22124,SET OF 2 TEA TOWELS PING MICROWAVE,422.97,179,39
22125,UNION JACK HOT WATER BOTTLE ,3514.6000000000004,608,157
22127,PARTY CONES CARNIVAL ASSORTED,3998.45,3445,146
22128,PARTY CONES CANDY ASSORTED,4588.65,3867,186
22129,PARTY CONES CANDY DECORATION,233.27999999999997,296,8
22129,PARTY CONES CANDY TREE DECORATION,1998.56,2510,98
22130,PARTY CONE CHRISTMAS DECORATION ,5704.04,6896,358
22131,FOOD CONTAINER SET 3 LOVE HEART ,8846.17,4965,496
22132,RED LOVE HEART SHAPE CUP,2521.88,3044,238
22133,PINK LOVE HEART SHAPE CUP,1819.9399999999998,2198,171
22134,LADLE LOVE HEART RED ,529.98,1351,72
22134,MINI LADLE LOVE HEART RED ,252.24,630,54
22135,LADLE LOVE HEART PINK,372.54,935,58
22135,MINI LADLE LOVE HEART PINK,106.56,242,45
22136,LOVE HEART SOCK HANGER,2990.0999999999995,1882,191
22137,BATHROOM SET LOVE HEART DESIGN,1407.85,583,31
22138,BAKING SET 9 PIECE RETROSPOT ,43070.91,9035,1742
22139,11 PC CERAMIC TEA SET POLKADOT,14.850000000000001,3,1
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,19921.27,4304,692
22139,RETROSPOT TEA SET CERAMIC 11 PC ,27595.33,5745,1145
22141,CHRISTMAS CRAFT TREE TOP ANGEL,6249.280000000001,3060,434
22142,CHRISTMAS CRAFT WHITE FAIRY ,5741.94,4090,429
22143,CHRISTMAS CRAFT HEART DECORATIONS,834.0,420,53
22144,CHRISTMAS CRAFT LITTLE FRIENDS,8790.7,4289,535
22145,CHRISTMAS CRAFT HEART STOCKING ,2566.0,1260,169
22146,EASTER CRAFT IVY WREATH WITH CHICK,2342.85,1343,99
22147,FELTCRAFT BUTTERFLY HEARTS,17238.05,12605,1026
22148,EASTER CRAFT 4 CHICKS ,5430.3,2994,243
22149,FELTCRAFT 6 FLOWER FRIENDS,24248.29,12174,1189
22150, 3 STRIPEY MICE FELTCRAFT,1241.1,662,112
22150,3 STRIPEY MICE FELTCRAFT,12515.65,6971,717
22151,PLACE SETTING WHITE HEART,10910.31,27085,645
22152,PLACE SETTING WHITE STAR,2493.11,6129,219
22153,ANGEL DECORATION STARS ON DRESS,2243.22,5389,191
22154,ANGEL DECORATION 3 BUTTONS ,2816.16,6808,227
22155,STAR DECORATION RUSTIC,2304.54,5487,221
22156,HEART DECORATION WITH PEARLS ,4816.42,5717,414
22157,ANGEL DECORATION WITH LACE PADDED,1420.35,1671,112
22158,3 HEARTS HANGING DECORATION RUSTIC,22471.86,7982,646
22161,HEART DECORATION RUSTIC HANGING ,1590.98,5388,219
22162,HEART GARLAND RUSTIC PADDED,2671.15,925,133
22163,HEART STRING MEMO HOLDER HANGING,1569.19,961,104
22164,STRING OF STARS CARD HOLDER,812.2500000000001,303,42
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",5020.41,783,127
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",1100.91,177,21
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,521.7,126,20
22167, OVAL WALL MIRROR DIAMANTE ,1239.05,139,67
22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",2591.85,387,99
22168,ORGANISER WOOD ANTIQUE WHITE ,5323.8,642,302
22168,"ORGANISER WOOD, ANTIQUE WHITE ",25.5,3,2
22169,FAMILY ALBUM WHITE PICTURE FRAME,16676.94,2094,570
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,14658.65,2309,510
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,21458.420000000002,2999,544
22172,METAL SHELF WITH RAIL ,2839.0,339,156
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,12846.140000000001,4538,714
22174,PHOTO CUBE,6011.24,3928,303
22175,PINK OWL DECORATION,244.79999999999998,96,1
22175,PINK OWL SOFT TOY,4622.68,1654,295
22176,BLUE OWL DECORATION,244.79999999999998,96,1
22176,BLUE OWL SOFT TOY,2968.05,1027,216
22177,5 HOOK BLACKBOARD ORGANISER ,2579.64,300,102
22178,VICTORIAN GLASS HANGING T-LIGHT,45746.75,37285,1442
22179,SET 10 LIGHTS NIGHT OWL,8990.800000000001,1400,300
22179,SET 10 NIGHT OWL LIGHTS,2510.34,388,101
22180,RETRO SPOT LAMP,4718.9,490,177
22180,RETROSPOT LAMP,4149.2,424,181
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1212.33,1485,104
22182,CAKE STAND VICTORIAN FILIGREE SMALL,1229.05,359,65
22183,CAKE STAND VICTORIAN FILIGREE MED,1438.05,282,63
22184,CAKE STAND VICTORIAN FILIGREE LARGE,1609.2,268,71
22185,SLATE TILE NATURAL HANGING,5723.599999999999,3738,375
22186,RED STAR CARD HOLDER,4840.84,1904,284
22187,GREEN CHRISTMAS TREE CARD HOLDER,5838.0199999999995,1982,290
22188,BLACK HEART CARD HOLDER,27324.45,10255,487
22189,CREAM HEART CARD HOLDER,47414.200000000004,15946,1129
22190,LOCAL CAFE MUG,1935.93,1164,124
22191,EAU DE NIL DINER WALL CLOCK,2033.2,244,116
22191,IVORY DINER WALL CLOCK,13271.900000000001,1629,475
22191,IVORY WALL CLOCK,459.0,60,1
22192,BLUE DINER WALL CLOCK,11358.78,1373,511
22193,RED DINER WALL CLOCK,14527.09,1775,554
22193,RED WALL CLOCK,459.0,60,1
22194,BLACK DINER WALL CLOCK,2918.05,353,142
22195,HEART MEASURING SPOONS LARGE,138.59999999999997,84,5
22195,LARGE HEART MEASURING SPOONS,7357.469999999999,4519,515
22196,HEART MEASURING SPOONS SMALL,10.2,12,1
22196,SMALL HEART MEASURING SPOONS,4850.5,5773,564
22197,POPCORN HOLDER,23417.51,30919,632
22197,"POPCORN HOLDER , SMALL ",2344.2999999999997,3070,81
22197,SMALL POPCORN HOLDER,32505.93,42955,1039
22198,LARGE POPCORN HOLDER ,9006.199999999999,5700,411
22198,"POPCORN HOLDER , LARGE",1524.4999999999998,954,67
22199,FRYING PAN RED POLKADOT ,4447.21,1153,142
22199,FRYING PAN RED RETROSPOT,1834.5,508,131
22200,FRYING PAN PINK POLKADOT,2094.29,549,108
22200,FRYING PAN PINK POLKADOT ,2483.0,600,120
22200,FRYING PAN PINK RETROSPOT,25.5,6,2
22201,FRYING PAN BLUE POLKADOT,510.5,142,54
22201,FRYING PAN BLUE POLKADOT ,1058.5,266,50
22201,FRYING PAN BLUE RETROSPOT,12.75,3,2
22202,MILK PAN PINK POLKADOT,1003.38,286,40
22202,MILK PAN PINK RETROSPOT,2385.7200000000003,660,116
22203,MILK PAN RED RETROSPOT,4386.64,1227,270
22204,MILK PAN BLUE POLKADOT,403.75,123,41
22204,MILK PAN BLUE RETROSPOT,1035.66,290,56
22207,FRYING PAN UNION FLAG,11283.86,2858,324
22208,WOOD STAMP SET THANK YOU,2525.87,2082,311
22209,WOOD STAMP SET HAPPY BIRTHDAY,1524.82,1263,193
22210,WOOD STAMP SET BEST WISHES,1707.56,1461,226
22211,WOOD STAMP SET FLOWERS,1625.2799999999997,1281,202
22212,FOUR HOOK  WHITE LOVEBIRDS,7412.31,3709,608
22214,CANDLE PLATE LACE WHITE,1069.3,462,52
22215,CAKE STAND WHITE TWO TIER LACE,8007.3,1029,319
22216,T-LIGHT HOLDER WHITE LACE,775.5699999999999,1069,57
22217,T-LIGHT HOLDER HANGING LACE,2336.02,2176,172
22218,CAKE STAND LACE WHITE,4406.75,1113,183
22219,LOVEBIRD HANGING DECORATION WHITE ,7009.549999999999,8375,726
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,6230.049999999999,711,244
22221,CAKE STAND LOVEBIRD 2 TIER PINK,6339.0,884,138
22222,CAKE PLATE LOVEBIRD WHITE,4512.45,1219,297
22223,CAKE PLATE LOVEBIRD PINK,2060.25,559,125
22224,WHITE LOVEBIRD LANTERN,6016.950000000001,2105,304
22227,"DECORATION, HANGING HEART+MIRROR ",1688.0000000000002,2608,168
22227,HANGING HEART MIRROR DECORATION ,1691.5500000000002,2607,213
22228,BUNNY WOODEN PAINTED WITH BIRD ,1129.4099999999999,1477,175
22229,BUNNY WOODEN PAINTED WITH FLOWER ,644.52,860,114
22230,JIGSAW TREE WITH WATERING CAN,731.02,1366,123
22231,JIGSAW TREE WITH BIRDHOUSE,2340.58,1948,220
22232,3 PIECE JIGSAW TOADSTOOLS,26.4,16,2
22232,JIGSAW TOADSTOOLS 3 PIECE,1120.6299999999999,1003,112
22233,JIGSAW RABBIT AND BIRDHOUSE,1077.35,881,127
22236,CAKE STAND 3 TIER MAGIC GARDEN,12951.9,1074,391
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",128.75,103,9
22241,GARLAND WOODEN HAPPY EASTER,4354.31,3703,326
22242,5 HOOK HANGER MAGIC TOADSTOOL,2707.0499999999997,1757,96
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",4560.299999999999,2902,209
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,6757.95,4471,181
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4718.849999999999,3081,140
22244,3 HOOK HANGER MAGIC GARDEN,4672.049999999999,2623,140
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",3533.2499999999995,1919,141
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",3563.5499999999997,4371,273
22246,"GARLAND, MAGIC GARDEN 1.8M",1146.3,610,68
22246,MAGIC GARDEN FELT GARLAND ,539.5799999999999,270,37
22247,BUNNY DECORATION MAGIC GARDEN,792.0699999999999,971,102
22248,DECORATION  PINK CHICK MAGIC GARDEN,648.73,773,85
22249,DECORATION WHITE CHICK MAGIC GARDEN,1080.71,1291,142
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,836.18,1018,109
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1906.69,1605,184
22252,BIRDCAGE DECORATION MAGIC GARDEN,53.55,21,3
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,1114.51,929,109
22253,6 CROCHET STRAWBERRIES,1096.39,937,69
22254,FELT TOADSTOOL LARGE,1581.02,1294,112
22255,FELT TOADSTOOL  SMALL,848.3,998,87
22256,FELT FARM ANIMAL CHICKEN,1025.58,846,83
22257,FELT FARM ANIMAL SHEEP,243.14,322,25
22258,FELT FARM ANIMAL RABBIT,1000.77,1113,71
22259,FELT FARM ANIMAL HEN,358.46,478,33
22260,FELT EGG COSY BLUE RABBIT ,973.0699999999999,1187,108
22261,FELT EGG COSY WHITE RABBIT ,1412.57,1753,150
22262,FELT EGG COSY CHICKEN,1477.02,1734,185
22263,FELT EGG COSY LADYBIRD ,484.34,722,43
22264,FELT FARM ANIMAL WHITE BUNNY ,865.7099999999999,1803,88
22265,EASTER DECORATION NATURAL CHICK,1129.65,1781,134
22266,EASTER DECORATION HANGING BUNNY,958.3000000000001,2476,123
22267,EASTER DECORATION EGG BUNNY ,1255.43,1457,105
22268,DECORATION SITTING BUNNY,257.61,1335,41
22268,EASTER DECORATION SITTING BUNNY,817.9399999999999,1010,110
22269,EGG CUP NATURAL CHICKEN,1194.64,1400,149
22270,HAPPY EASTER HANGING DECORATION,2314.41,631,129
22271,FELTCRAFT DOLL ROSIE,13244.460000000001,4744,691
22272,FELTCRAFT DOLL MARIA,3684.9100000000003,1343,276
22273,FELTCRAFT DOLL MOLLY,19332.93,7203,701
22274,FELTCRAFT DOLL EMILY,10227.310000000001,3675,578
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7315.950000000001,902,280
22276,WASH BAG VINTAGE ROSE PAISLEY,4372.5,1780,303
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,2633.42,1303,189
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3899.05,799,239
22279,POCKET BAG BLUE PAISLEY RED SPOT,1636.8600000000001,1073,121
22280,POCKET BAG PINK PAISELY BROWN SPOT,943.03,579,87
22281,EASTER TREE YELLOW BIRDS,2192.25,423,98
22282,12 EGG HOUSE PAINTED WOOD,5176.67,475,143
22283,6 EGG HOUSE PAINTED WOOD,6881.6900000000005,923,297
22284,HEN HOUSE DECORATION,3665.2499999999995,2341,233
22285,"DECORATION HEN ON NEST, HANGING",2718.45,1837,125
22285,HANGING HEN ON NEST DECORATION,1310.1,794,87
22286,"DECORATION , WOBBLY RABBIT , METAL ",1561.4999999999998,1066,99
22286,DECORATION WOBBLY RABBIT METAL ,375.57,753,45
22287,"DECORATION , WOBBLY CHICKEN, METAL ",1061.55,763,60
22287,DECORATION WOBBLY CHICKEN,256.11,521,29
22288,"DECORATION , HANGING METAL RABBIT",851.25,813,47
22288,HANGING METAL RABBIT DECORATION,565.0,452,39
22289,"DECORATION , HANGING METAL CHICKEN",586.25,601,30
22289,HANGING METAL CHICKEN DECORATION,152.5,122,19
22290,STANDING METAL RABBIT WITH EGG,1168.2,657,68
22291,HANGING CHICK CREAM DECORATION,1766.1,1218,91
22291,"SPRING DEC , HANGING CHICK CREAM",2419.2,1872,118
22292,HANGING CHICK  YELLOW DECORATION,1520.0,1088,89
22292,"SPRING DEC , HANGING CHICK  YELLOW",2009.8999999999999,1550,92
22293,HANGING CHICK GREEN DECORATION,1186.1,818,83
22293,"SPRING DEC , HANGING CHICK  GREEN",1396.1499999999999,1087,71
22294,HEART FILIGREE DOVE  SMALL,19686.6,16260,707
22295,HEART FILIGREE DOVE LARGE,13184.069999999998,8159,620
22296,HEART IVORY TRELLIS LARGE,15218.079999999998,9416,739
22297,HEART IVORY TRELLIS SMALL,15836.59,12939,646
22299,PIG KEYRING WITH LIGHT & SOUND ,4147.69,3795,128
22300,COFFEE MUG DOG + BALL DESIGN,9021.39,3923,411
22301,COFFEE MUG CAT + BIRD DESIGN,10831.289999999999,4733,466
22302,COFFEE MUG PEARS  DESIGN,10043.41,4808,352
22303,COFFEE MUG APPLES DESIGN,12179.95,5310,480
22304,COFFEE MUG BLUE PAISLEY DESIGN,4455.11,2330,142
22305,COFFEE MUG PINK PAISLEY DESIGN,4559.8,2230,126
22306,SILVER MUG BONE CHINA TREE OF LIFE,2157.17,1578,148
22307,GOLD MUG BONE CHINA TREE OF LIFE,1640.41,1153,101
22308,TEA COSY BLUE STRIPE,1273.3899999999999,515,98
22309,TEA COSY RED  STRIPE,2850.93,1208,169
22310,IVORY KNITTED MUG COSY ,1477.59,943,82
22310,KNITTED MUG COSY IVORY COLOUR ,821.6999999999999,546,28
22311,OFFICE MUG WARMER BLACK+SILVER ,5576.95,1937,190
22312,OFFICE MUG WARMER POLKADOT,3186.7900000000004,995,188
22313,OFFICE MUG WARMER PINK,2899.54,952,106
22314,OFFICE MUG WARMER CHOC+BLUE,3315.5400000000004,1020,180
22315,200 RED + WHITE BENDY STRAWS,2325.86,1930,296
22316,200 BENDY SKULL STRAWS,1370.4,1224,95
22317,FIVE CATS HANGING DECORATION,1324.0200000000002,450,96
22318,FIVE HEART HANGING DECORATION,4281.150000000001,1461,286
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,1635.0100000000002,2957,163
22320,BIRDS MOBILE VINTAGE DESIGN,3390.46,578,169
22321,BIRD DECORATION RED RETROSPOT,903.53,1085,73
22321,BIRD DECORATION RED SPOT,966.5899999999999,1139,84
22322,BIRD DECORATION GREEN  SPOT,487.9,574,47
22322,BIRD DECORATION GREEN POLKADOT,413.09999999999997,486,45
22323,BAG FOR CHILDREN VINTAGE PINK ,408.0,96,1
22323,PINK POLKADOT KIDS BAG,975.9,474,72
22324,BAG FOR CHILDREN VINTAGE BLUE ,408.0,96,1
22324,BLUE POLKADOT KIDS BAG,906.81,447,66
22325,MOBILE VINTAGE HEARTS ,2137.3500000000004,439,155
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",194.70000000000002,66,3
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40219.82,14630,1144
22327,ROUND SNACK BOXES SET OF 4 SKULLS,7440.6,2628,464
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",247.8,84,5
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,33670.24,12356,985
22329,ROUND CONTAINER SET OF 5 RETROSPOT,7408.749999999999,4755,418
22329,ROUND FOOD CONTAINER S/5 RETROSPOT,59.39999999999999,36,3
22330,72 ROUND PINK DOILIES,166.75,115,15
22331,WOODLAND PARTY BAG + STICKER SET,5456.36,3460,345
22332,SKULLS PARTY BAG + STICKER SET,6264.049999999999,4065,334
22333,RETRO SPORT PARTY BAG + STICKER SET,5122.15,3339,218
22333,RETRO SPOT PARTY BAG + STICKER SET,1395.45,933,31
22333,RETROSPOT PARTY BAG + STICKER SET,8497.179999999998,5526,348
22334,DINOSAUR PARTY BAG + STICKER SET,3460.24,2196,246
22335,HEART DECORATION PAINTED ZINC ,4895.1,8034,336
22336,DOVE DECORATION PAINTED ZINC ,2014.7600000000002,4442,150
22337,ANGEL DECORATION PAINTED ZINC ,1292.0500000000002,2165,82
22338,STAR DECORATION PAINTED ZINC ,1763.2500000000002,5509,180
22339,CHRISTMAS TREE PAINTED ZINC ,1235.5400000000002,3308,102
22340,NOEL GARLAND PAINTED ZINC ,1027.4099999999999,1345,95
22341,LOVE GARLAND PAINTED ZINC ,5252.599999999999,3332,139
22342,HOME GARLAND PAINTED ZINC ,2029.1999999999998,1608,115
22343,PARTY PIZZA DISH RED RETROSPOT,1380.9399999999998,2506,109
22343,PARTY PIZZA DISH RED WHITE SPOT ,394.4,464,22
22343,PARTY PIZZA DISH RED+WHITE SPOT ,10.2,12,1
22344,PARTY PIZZA DISH PINK POLKADOT,426.28999999999996,1109,53
22344,PARTY PIZZA DISH PINK RETROSPOT,131.75,155,19
22344,PARTY PIZZA DISH PINK WHITE SPOT ,47.599999999999994,56,10
22344,PARTY PIZZA DISH PINK+WHITE SPOT ,20.4,24,2
22345,PARTY PIZZA DISH BLUE POLKADOT,371.46,1032,48
22345,PARTY PIZZA DISH BLUE RETROSPOT,171.7,202,24
22345,PARTY PIZZA DISH BLUE WHITE SPOT ,34.849999999999994,41,8
22345,PARTY PIZZA DISH BLUE+WHITE SPOT ,20.4,24,2
22346,PARTY PIZZA DISH GREEN POLKADOT,404.31,1005,39
22346,PARTY PIZZA DISH GREEN RETROSPOT,70.55,83,14
22346,PARTY PIZZA DISH GREEN WHITE SPOT ,24.65,29,7
22346,PARTY PIZZA DISH GREEN+WHITE SPOT ,10.2,12,1
22347,PIZZA DISH SLICE ,45.0,36,2
22347,PIZZA SLICE DISH,2891.4500000000003,2605,74
22348,TEA BAG PLATE RED RETROSPOT,4171.19,5033,353
22348,TEA BAG PLATE RED SPOTTY ,5496.0199999999995,6866,337
22349,"DOG BOWL , CHASING BALL DESIGN",2537.13,695,118
22349,DOG BOWL CHASING BALL DESIGN,6515.62,1688,200
22350,CAT BOWL ,2057.7,862,97
22350,ILLUSTRATED CAT BOWL ,4540.86,1730,154
22351,DOTCOMGIFTSHOP TEA TOWEL,19.799999999999997,12,1
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12669.039999999999,5331,645
22352,LUNCHBOX WITH CUTLERY RETROSPOT ,3214.35,1359,191
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,3498.1499999999996,1429,217
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,3215.25,1371,154
22354,RETRO SPOT PADDED SEAT CUSHION,1657.65,467,52
22354,RETROSPOT PADDED SEAT CUSHION,5807.77,1613,185
22355,"CHARLOTTE BAG , SUKI DESIGN",3233.7,4072,234
22355,CHARLOTTE BAG SUKI DESIGN,12268.65,15411,957
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",3360.0,4216,262
22356,CHARLOTTE BAG PINK POLKADOT,6812.09,8455,600
22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,3151.2,3952,246
22357,KINGS CHOICE BISCUIT TIN,8044.09,1873,316
22358,KINGS CHOICE TEA CADDY ,6468.580000000001,2286,384
22359,GLASS JAR KINGS CHOICE,3631.87,1185,147
22359,"GLASS JAR, KINGS CHOICE SOAP",123.9,42,8
22360,GLASS JAR ENGLISH CONFECTIONERY,6248.8,2284,302
22360,"GLASS JAR, ENGLISH CONFECTIONERY",5.9,2,1
22361,GLASS JAR DAISY FRESH COTTON WOOL,4242.650000000001,1535,264
22362,GLASS JAR PEACOCK BATH SALTS,1893.9800000000002,658,177
22363,GLASS JAR MARMALADE ,2034.2900000000002,735,128
22364,GLASS JAR DIGESTIVE BISCUITS,5556.55,1893,224
22365,DOOR MAT RESPECTABLE HOUSE,2479.86,358,104
